FECHA_REGISTRO;TEMPERATURA_PROMEDIO;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;HUMEDAD_RELATIVA_PROMEDIO;HUMEDAD_RELATIVA_MINIMA;HUMEDAD_RELATIVA_MAXIMA;PRECIPITACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ESTACION;MARCA;MODELO;FECHA_CORTE
20240713;3.78;0.3;10.1;61.13;34.9;100;0.65;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240714;5.58;2.7;11.9;56.65;39.7;76;0.15;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240715;5.47;1.6;12.5;54.07;28.3;71.7;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240716;5.04;0.3;14.5;35.92;12.4;72.1;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240717;4.89;0.7;11.1;14.96;4.7;34.1;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240718;4.51;0.7;11.8;20.66;3.7;53;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240719;4.2;-1.3;11.7;30.87;10;56.7;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240720;3.85;0.5;9.6;38.3;13.3;53.6;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240721;3.67;-0.7;9.9;44.47;29.2;62.4;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240722;3.97;-1.1;10.1;42.02;18.2;64.3;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240723;3.94;-0.2;12;55.81;34.5;81.4;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240724;3.79;-0.9;11.3;59.1;22.4;93.1;0.05;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240725;4.08;-0.7;9.8;59.83;40.6;83.9;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240726;3.98;-0.5;12.4;61.82;31.1;89.1;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240727;5.09;-0.8;13.1;50.29;16.7;80.1;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240728;6.33;2.8;14;33.27;12.4;60.9;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240729;5.7;2.1;13.4;32.32;14.1;58.6;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240730;4.82;0.3;12.5;48.11;25;64;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240731;5.37;0.9;12.3;47.47;27.8;64;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240801;4.81;1.3;12.5;52.79;19.5;85;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240802;4.29;0.3;13.9;61.11;27.7;83.7;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240803;4.4;0.8;14.7;64.18;28.9;94.3;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240804;3.47;-0.7;11.9;69.97;22.4;99.4;0.07;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240805;3.55;-0.6;12.5;69.91;31.9;96.4;0.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
